Model,Test Language,Real_Mean,Real_Median,Real_Std,Real_Min,Real_Max,Synth_Mean,Synth_Median,Synth_Std,Synth_Min,Synth_Max
Exp A (Ta+Hi -> En),English,0.13144671104044436,0.0688126864782324,0.15543301795104197,0.00031775011153049583,0.8844643140805314,0.09799588733778283,0.051304447141201706,0.1215353735936059,0.001370395047453836,0.709591694069242
Exp B (Ta+En -> Hi),Hindi,0.6904918794270096,0.8778714752246142,0.377285680227654,3.342133192215022e-05,0.9998236161130096,0.7261883403810611,0.9480057497540572,0.3957118249241775,2.537874542325182e-05,0.9998699820645858
Exp C (En+Hi -> Ta),Tamil,0.21453553548833829,0.0415726834155491,0.3047216809839603,4.163231937636297e-05,0.9983660322494649,0.5077783405244063,0.48852980501287785,0.33141336602087623,0.012308858310837488,0.9997017176209337
