Model,roc_auc,accuracy,precision,recall,f1,mode
M1 (Acoustic),0.6854087030375318,0.5652412873605307,0.6867362912334449,0.4009218988218988,0.4026938521180855,Group-holdout evaluation (speaker-independent proxy).
M2 (+Prosodic),0.7538505039732006,0.562788973612174,0.7240563036337684,0.39575876645876645,0.39840257166583476,Group-holdout evaluation (speaker-independent proxy).
M3 (+VQ),0.7878177030070042,0.5586644224228029,0.6820943474039121,0.3912768537768538,0.38931570444589514,Group-holdout evaluation (speaker-independent proxy).
M4 (+Behavioural),0.7735443862829452,0.5698490972708001,0.7784734393595153,0.3994744282744283,0.41489273869807863,Group-holdout evaluation (speaker-independent proxy).
