threshold,precision,recall,f1,false_positives,false_negatives
0.1,0.4965391621129326,1.0,0.6635832521908471,1382,0
0.2,0.4965391621129326,1.0,0.6635832521908471,1382,0
0.3,0.4965391621129326,1.0,0.6635832521908471,1382,0
0.4,0.6645538761579717,1.0,0.7984768599882835,688,0
0.5,0.8689655172413793,0.7395451210564931,0.7990487514863258,152,355
0.6,0.9948849104859335,0.28539985326485695,0.443557582668187,2,974
0.7,0.0,0.0,0.0,0,1363
0.8,0.0,0.0,0.0,0,1363
0.9,0.0,0.0,0.0,0,1363
