category,audio,window,time,start_time,end_time,aasist_score,old_prosody_score,new_v2_prosody_score
SYNTHETIC,synthetic.wav,#1,0.0-2.0s,0.0,2.0,0.9999998807907104,0.00466193225892475,0.47131663401879537
SYNTHETIC,synthetic.wav,#2,1.0-3.0s,1.0,3.0,0.9999998807907104,0.00466193225892475,0.47131663401879537
SYNTHETIC,synthetic.wav,#3,2.0-4.0s,2.0,4.0,1.0,0.00466193225892475,0.47131663401879537
SYNTHETIC,synthetic.wav,#4,3.0-5.0s,3.0,5.0,1.0,0.00466193225892475,0.47131663401879537
SYNTHETIC,synthetic.wav,#5,4.0-6.0s,4.0,6.0,0.9999994039535522,0.00466193225892475,0.47131663401879537
SYNTHETIC,synthetic_cloned.ogg,#1,0.0-2.0s,0.0,2.0,0.00044631108175963163,0.9609815995293738,0.3800515503005872
SYNTHETIC,synthetic_cloned.ogg,#2,1.0-3.0s,1.0,3.0,0.9948241710662842,0.09860111926738668,0.41876161961996855
SYNTHETIC,synthetic_cloned.ogg,#3,2.0-4.0s,2.0,4.0,0.9995444416999817,0.003965193799696842,0.4328829713798527
SYNTHETIC,synthetic_cloned.ogg,#4,3.0-5.0s,3.0,5.0,0.9999597072601318,0.004280084392852768,0.5462774622449015
SYNTHETIC,synthetic_cloned.ogg,#5,4.0-6.0s,4.0,6.0,0.9999467134475708,0.00422508939053734,0.46402831904316577
SYNTHETIC,synthetic_cloned.ogg,#6,5.0-7.0s,5.0,7.0,0.9998992681503296,0.004784100533439806,0.46475750848540925
SYNTHETIC,synthetic_cloned.ogg,#7,6.0-8.0s,6.0,8.0,0.9999022483825684,0.008236935744471596,0.5344751915468625
SYNTHETIC,synthetic_cloned.ogg,#8,7.0-9.0s,7.0,9.0,0.999951958656311,0.0046211058987493114,0.4308641223009043
SYNTHETIC,synthetic_cloned.ogg,#9,8.0-10.0s,8.0,10.0,0.9998747110366821,0.002603149334181931,0.4081202282807972
SYNTHETIC,synthetic_cloned.ogg,#10,9.0-11.0s,9.0,11.0,0.9999581575393677,0.1996799521794146,0.5348542552695649
SYNTHETIC,synthetic_cloned.ogg,#11,10.0-12.0s,10.0,12.0,0.9963763356208801,0.29486373081157136,0.5344676751953624
SYNTHETIC,synthetic_cloned.ogg,#12,11.0-13.0s,11.0,13.0,0.9998433589935303,0.4365499248947593,0.5743206182652449
SYNTHETIC,synthetic_cloned.ogg,#13,12.0-14.0s,12.0,14.0,0.9999086856842041,0.00858840646639758,0.5417565910159985
SYNTHETIC,synthetic_cloned.ogg,#14,13.0-15.0s,13.0,15.0,0.9986357092857361,0.0023516181271904246,0.4444538559056026
SYNTHETIC,synthetic_cloned.ogg,#15,14.0-16.0s,14.0,16.0,0.9811727404594421,0.002451585944385437,0.4215775693810177
SYNTHETIC,synthetic_cloned.ogg,#16,15.0-17.0s,15.0,17.0,0.9977858066558838,0.002451585944385437,0.4277665175590839
SYNTHETIC,synthetic_cloned.ogg,#17,16.0-18.0s,16.0,18.0,0.9999749660491943,0.0026129964221961455,0.40219697755497474
